"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K07451",0.355,0,0.541,-0.0223,0.0364,0.0431,NA,"K07451",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07448",0.355,0,0.529,-0.0216,0.0343,0.0444,NA,"K07448",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01153",0.502,0,0.293,-0.0324,0.0307,0.0742,NA,"K01153",0.933454660748256,1,FALSE,FALSE,FALSE,FALSE
"K01154",0.527,0,0.93,-0.00274,0.0312,0.00619,NA,"K01154",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03427",0.547,0,0.998,-6.67e-05,0.0309,0.000152,NA,"K03427",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02651",0.542,0,0.433,0.0519,0.0661,0.0553,NA,"K02651",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02278",0.32,0,0.266,0.0885,0.0793,0.0785,NA,"K02278",0.91285949280329,1,FALSE,FALSE,FALSE,FALSE
"K02279",0.527,0,0.445,0.051,0.0666,0.0539,NA,"K02279",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02280",0.458,0,0.0808,0.13,0.0742,0.123,NA,"K02280",0.583788744588745,1,FALSE,FALSE,FALSE,FALSE
"K02283",0.621,0,0.146,0.107,0.0737,0.102,NA,"K02283",0.721640671273445,1,FALSE,FALSE,FALSE,FALSE
"K12510",0.581,0,0.192,0.0855,0.0653,0.092,NA,"K12510",0.812632290786137,1,FALSE,FALSE,FALSE,FALSE
"K12511",0.502,0,0.193,0.0813,0.0622,0.0918,NA,"K12511",0.816174831081081,1,FALSE,FALSE,FALSE,FALSE
"K12513",0.493,0,0.118,0.144,0.0914,0.11,NA,"K12513",0.669112117780294,1,FALSE,FALSE,FALSE,FALSE
"K03442",0.547,0,0.544,-0.0803,0.132,0.0429,NA,"K03442",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K20534",0.542,0,0.0836,-0.103,0.0592,0.122,NA,"K20534",0.589635524475524,1,FALSE,FALSE,FALSE,FALSE
"K16089",0.31,0,0.106,-0.0943,0.0581,0.114,NA,"K16089",0.640992753623188,1,FALSE,FALSE,FALSE,FALSE
"K02014",0.744,0,0.939,0.0856,1.12,0.0054,NA,"K02014,K02523,K03474,K03559,K03561,K03634,K04744,K05807,K06215,K06346,K06960,K06994,K07177,K07277,K08681,K09762,K09772",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K21088",0.128,0,0.619,-0.0443,0.089,0.0351,NA,"K21088",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03829",0.542,0,0.129,0.148,0.0973,0.107,NA,"K03829",0.697519438444924,1,FALSE,FALSE,FALSE,FALSE
"K13274",0.163,0,0.0493,0.671,0.339,0.138,NA,"K13274",0.529710515021459,1,FALSE,FALSE,FALSE,FALSE
"K06895",0.788,0,0.851,-0.0168,0.0892,0.0133,NA,"K06895",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00799",0.695,0,0.174,1.09,0.799,0.0957,NA,"K00799,K11209",0.786557450628366,1,FALSE,FALSE,FALSE,FALSE
"K03547",0.803,0,0.495,0.0801,0.117,0.0481,NA,"K03547",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03546",0.675,0,0.0697,0.325,0.178,0.128,NA,"K03546",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K07178",0.502,0,0.804,0.0316,0.127,0.0175,NA,"K07178",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06876",0.305,0,0.925,0.00542,0.0571,0.00669,NA,"K06876",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K25656",0.217,0,0.156,-0.237,0.166,0.1,NA,"K25656",0.746741873804971,1,FALSE,FALSE,FALSE,FALSE
"K02362",0.35,0,0.381,0.0797,0.0907,0.0618,NA,"K02362",0.981815234173958,1,FALSE,FALSE,FALSE,FALSE
"K10829",0.291,0,0.542,0.0544,0.089,0.0431,NA,"K10829",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K23227",0.355,0,0.912,0.00893,0.0809,0.00778,NA,"K23227",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K23228",0.35,0,0.659,0.0346,0.0783,0.0311,NA,"K23228",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06159",0.172,0,0.905,-0.0106,0.0892,0.00841,NA,"K06159",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K05375",0.369,0,0.961,0.0028,0.0579,0.00342,NA,"K05375",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03896",0.207,0,0.41,0.0599,0.0726,0.0581,NA,"K03896",0.995165229885058,1,FALSE,FALSE,FALSE,FALSE
"K10531",0.187,0,0.786,0.0181,0.0667,0.0191,NA,"K10531",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02445",0.296,0,0.0434,-0.151,0.0742,0.142,NA,"K02445",0.493872272727273,1,FALSE,FALSE,FALSE,FALSE
"K01126",0.847,0,0.0579,-0.211,0.111,0.133,NA,"K01126",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K06940",0.64,0,0.163,-0.136,0.097,0.0982,NA,"K06940",0.762748598130841,1,FALSE,FALSE,FALSE,FALSE
"K00633",0.0591,0,0.231,-0.114,0.0953,0.0844,NA,"K00633",0.880896420411272,1,FALSE,FALSE,FALSE,FALSE
"K00661",0.591,0,0.546,-0.0322,0.0532,0.0426,NA,"K00661",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K16317",0.0246,0,0.825,-0.088,0.398,0.0156,NA,"K00702,K07457,K13062,K15850,K16317,K17108,K20956",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07089",0.369,0,0.546,-0.0399,0.066,0.0426,NA,"K07089",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01096",0.138,0,0.61,-0.176,0.344,0.036,NA,"K01096,K05775,K09998,K09999,K10000",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07118",0.626,0,0.474,0.0372,0.0519,0.0505,NA,"K07118",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07275",0.655,0,0.352,-0.14,0.15,0.0657,NA,"K07275",0.963199455040872,1,FALSE,FALSE,FALSE,FALSE
"K00975",0.665,0,0.124,0.185,0.12,0.108,NA,"K00975",0.686041988950276,1,FALSE,FALSE,FALSE,FALSE
"K02042",0.532,0,0.934,0.00476,0.0573,0.00586,NA,"K02042",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02041",0.517,0,0.998,0.000137,0.0569,0.000169,NA,"K02041",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02044",0.567,0,0.732,0.0191,0.0556,0.0242,NA,"K02044",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K10126",0.438,0,0.257,0.18,0.159,0.0799,NA,"K10126",0.906835095137421,1,FALSE,FALSE,FALSE,FALSE
"K19802",0.414,0,0.316,-0.0897,0.0892,0.0708,NA,"K19802",0.950168352171327,1,FALSE,FALSE,FALSE,FALSE
"K26272",0.133,0,0.339,-0.074,0.0771,0.0675,NA,"K26272",0.962031561461794,1,FALSE,FALSE,FALSE,FALSE
"K03315",0.325,0,0.293,-0.135,0.128,0.0741,NA,"K03315",0.933454660748256,1,FALSE,FALSE,FALSE,FALSE
"K14155",0.502,0,0.544,0.0925,0.152,0.0428,NA,"K14155",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K16924",0.069,0,0.515,0.152,0.232,0.0459,NA,"K16924",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01552",0.261,0,0.277,0.189,0.173,0.0766,NA,"K01552",0.923041114058356,1,FALSE,FALSE,FALSE,FALSE
"K16785",0.271,0,0.0413,0.503,0.245,0.143,NA,"K16785",0.485456206088993,1,FALSE,FALSE,FALSE,FALSE
"K00700",0.857,0,0.726,0.0339,0.0964,0.0248,NA,"K00700",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00705",0.576,0,0.833,0.0248,0.118,0.0149,NA,"K00705",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00688",0.778,0,0.25,0.133,0.116,0.0812,NA,"K00688",0.899245689655172,1,FALSE,FALSE,FALSE,FALSE
"K03556",0.369,0,0.95,0.00481,0.0759,0.00447,NA,"K03556",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K08974",0.158,0,0.372,-0.17,0.19,0.063,NA,"K08974",0.97633889468196,1,FALSE,FALSE,FALSE,FALSE
"K07152",0.768,0,0.764,-0.124,0.412,0.0212,NA,"K07152",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K09796",0.616,0,0.856,0.0482,0.266,0.0128,NA,"K09796",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06949",0.916,0,0.334,0.121,0.125,0.0681,NA,"K06949",0.958482857142857,1,FALSE,FALSE,FALSE,FALSE
"K07862",0.394,0,0.828,-0.0478,0.22,0.0154,NA,"K07862",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07126",0.635,0,0.207,-0.117,0.0926,0.0889,NA,"K07126",0.844013843648209,1,FALSE,FALSE,FALSE,FALSE
"K13041",0.0493,0,0.86,-0.027,0.153,0.0124,NA,"K08357,K08358,K08359,K13040,K13041",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K19713",0.064,0,0.348,0.0859,0.0914,0.0662,NA,"K19713",0.962248348017621,1,FALSE,FALSE,FALSE,FALSE
"K11249",0.537,0,0.653,-0.036,0.08,0.0317,NA,"K11249",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01200",0.217,0,0.762,0.0282,0.0929,0.0214,NA,"K01200",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02024",0.251,0,0.0892,0.131,0.0765,0.12,NA,"K02024",0.601512080536913,1,FALSE,FALSE,FALSE,FALSE
"K06967",0.35,0,0.14,0.358,0.242,0.104,NA,"K06967",0.718175757575757,1,FALSE,FALSE,FALSE,FALSE
"K03778",0.493,0,0.776,0.0367,0.129,0.0201,NA,"K03778",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03781",0.951,0,0.866,-0.0225,0.134,0.0119,NA,"K03781",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00865",0.729,0,0.644,0.0454,0.098,0.0327,NA,"K00865",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03299",0.759,0,0.645,0.0295,0.0638,0.0325,NA,"K03299",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K22131",0.202,0,0.0253,0.146,0.0646,0.157,NA,"K22131",0.393407142857143,1,FALSE,FALSE,FALSE,FALSE
"K01816",0.606,0,0.348,0.101,0.108,0.0662,NA,"K01816",0.962248348017621,1,FALSE,FALSE,FALSE,FALSE
"K22130",0.251,0,0.0268,0.0979,0.0439,0.155,NA,"K21948,K22130",0.406629090909091,1,FALSE,FALSE,FALSE,FALSE
"K08319",0.197,0,0.0228,0.122,0.0531,0.16,NA,"K08319",0.376764356435644,1,FALSE,FALSE,FALSE,FALSE
"K13652",0.296,0,0.11,-0.104,0.0648,0.113,NA,"K13652",0.651798816568047,1,FALSE,FALSE,FALSE,FALSE
"K09927",0.68,0,0.0759,0.156,0.0873,0.125,NA,"K09927",0.566267857142857,1,FALSE,FALSE,FALSE,FALSE
"K07168",0.635,0,0.126,0.112,0.0731,0.108,NA,"K07168",0.687984732824428,1,FALSE,FALSE,FALSE,FALSE
"K03325",0.512,0,0.23,-0.0725,0.0602,0.0847,NA,"K03325",0.880435779816514,1,FALSE,FALSE,FALSE,FALSE
"K07793",0.719,0,0.101,0.0955,0.058,0.115,NA,"K07793",0.63134456928839,1,FALSE,FALSE,FALSE,FALSE
"K07795",0.768,0,0.236,0.0692,0.0582,0.0836,NA,"K07795",0.887792637114951,1,FALSE,FALSE,FALSE,FALSE
"K16514",0.325,0,0.18,-0.0553,0.0411,0.0945,NA,"K16514",0.796166077738516,1,FALSE,FALSE,FALSE,FALSE
"K07774",0.453,0,0.81,0.0154,0.064,0.017,NA,"K07774",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02440",0.542,0,0.0537,0.233,0.12,0.136,NA,"K02440",0.545296761133603,1,FALSE,FALSE,FALSE,FALSE
"K00864",0.936,0,0.765,0.0439,0.147,0.0211,NA,"K00864",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02444",0.532,0,0.0737,0.443,0.247,0.126,NA,"K02444",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K07485",0.182,0,0.578,-0.0251,0.0449,0.0393,NA,"K07485",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00111",0.951,0,0.69,0.0669,0.168,0.0281,NA,"K00111",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K09794",0.581,0,0.276,0.199,0.182,0.0768,NA,"K09794",0.923041114058356,1,FALSE,FALSE,FALSE,FALSE
"K25316",0.502,0,0.168,0.1,0.0723,0.097,NA,"K25316",0.775992619926199,1,FALSE,FALSE,FALSE,FALSE
"K01779",0.719,0,0.402,0.0472,0.0562,0.0591,NA,"K01779",0.994473320158103,1,FALSE,FALSE,FALSE,FALSE
"K09021",0.217,0,0.315,-0.119,0.118,0.0708,NA,"K09021",0.950168352171327,1,FALSE,FALSE,FALSE,FALSE
"K13252",0.0197,0,0.936,-0.0134,0.167,0.00566,NA,"K13252",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K10536",0.527,0,0.283,-0.0746,0.0693,0.0757,NA,"K10536",0.9257734375,1,FALSE,FALSE,FALSE,FALSE
"K20265",0.148,0,0.922,-0.0115,0.117,0.00689,NA,"K20265",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01130",0.389,0,0.333,-0.0488,0.0503,0.0682,NA,"K01130",0.958482857142857,1,FALSE,FALSE,FALSE,FALSE
"K24118",0.0887,0,0.568,0.0426,0.0745,0.0403,NA,"K24118",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06076",0.665,0,0.38,-0.445,0.506,0.0619,NA,"K06076",0.981258380608561,1,FALSE,FALSE,FALSE,FALSE
"K19285",0.236,0,0.637,0.0617,0.131,0.0333,NA,"K19285",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K06132",0.591,0,0.0701,0.232,0.128,0.127,NA,"K06132",0.563005997001499,1,FALSE,FALSE,FALSE,FALSE
"K19577",0.877,0,0.494,-0.048,0.0701,0.0483,NA,"K19577",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03487",0.113,0,0.857,-0.022,0.122,0.0127,NA,"K03487",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01223",0.261,0,0.401,0.129,0.153,0.0593,NA,"K01223",0.994456166419019,1,FALSE,FALSE,FALSE,FALSE
"K28433",0.266,0,0.123,-0.237,0.153,0.109,NA,"K28433",0.682016611295681,1,FALSE,FALSE,FALSE,FALSE
"K25227",0.365,0,0.933,-0.00408,0.0482,0.00596,NA,"K25227",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K16869",0.429,0,0.943,-0.00786,0.11,0.00504,NA,"K16869",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07261",0.266,0,0.926,0.0131,0.14,0.00657,NA,"K07261",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K08303",0.557,0,0.277,0.162,0.149,0.0767,NA,"K08303",0.923041114058356,1,FALSE,FALSE,FALSE,FALSE
"K03554",0.532,0,0.762,0.198,0.653,0.0213,NA,"K03554",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07636",0.803,0,0.649,-0.0545,0.119,0.0321,NA,"K07636",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02040",0.975,0,0.919,0.0912,0.892,0.00722,NA,"K02040,K19714,K19715",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01524",0.906,0,0.691,-0.112,0.282,0.0281,NA,"K01524",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K00937",0.862,0,0.806,-0.0301,0.123,0.0173,NA,"K00937",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02037",0.946,0,0.599,0.715,1.36,0.0372,NA,"K00943,K00995,K02036,K02037,K02038,K03086,K03431,K03789,K04042,K04516,K07738,K13043,K15862,K16363",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K02039",0.921,0,0.0356,1.07,0.508,0.148,NA,"K02039",0.457049230769231,1,FALSE,FALSE,FALSE,FALSE
"K06201",0.517,0,0.801,0.0215,0.0855,0.0178,NA,"K06201",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03386",0.458,0,0.918,0.01,0.0971,0.00727,NA,"K03386",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K04767",0.182,0,0.943,-0.0193,0.27,0.00505,NA,"K04767",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07568",0.872,0,0.25,1.17,1.01,0.0812,NA,"K07568",0.899245689655172,1,FALSE,FALSE,FALSE,FALSE
"K00773",0.951,0,0.601,0.375,0.716,0.0369,NA,"K00773",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03072",0.788,0,0.439,0.556,0.717,0.0546,NA,"K03072",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K03074",0.764,0,0.55,0.102,0.171,0.0422,NA,"K03074",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K01092",0.956,0,0.859,0.169,0.945,0.0126,NA,"K00099,K00147,K00919,K00931,K01092,K03526,K03527",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K15396",0.448,0,0.862,0.0582,0.333,0.0123,NA,"K15396",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K13643",0.547,0,0.754,0.2,0.638,0.0222,NA,"K13643",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K04487",0.966,0,0.619,0.478,0.959,0.0351,NA,"K04487",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K04488",0.709,0,0.174,-0.228,0.167,0.0957,NA,"K04488",0.786557450628366,1,FALSE,FALSE,FALSE,FALSE
"K13628",0.586,0,0.11,-0.276,0.172,0.112,NA,"K13628",0.651798816568047,1,FALSE,FALSE,FALSE,FALSE
"K04082",0.473,0,0.135,-0.261,0.174,0.105,NA,"K04044,K04082",0.713775079197466,1,FALSE,FALSE,FALSE,FALSE
"K04755",0.606,0,0.707,0.039,0.104,0.0265,NA,"K04755",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K07751",0.232,0,0.414,-0.593,0.724,0.0577,NA,"K03645,K03840,K05368,K05803,K07479,K07648,K07751,K07773,K09894,K09899,K13498,K14187,K15723,K18657,K19229,K19230",0.995165229885058,1,FALSE,FALSE,FALSE,FALSE
"K06941",0.926,0,0.818,-0.0302,0.131,0.0163,NA,"K06941",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K15539",0.714,0,0.796,0.151,0.583,0.0182,NA,"K15539",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K17713",0.606,0,0.963,0.0361,0.776,0.00328,NA,"K17713",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
"K11959",0.562,0,0.901,-0.0148,0.119,0.00879,NA,"K11959,K11960,K11961,K11962",0.999598920863309,1,FALSE,FALSE,FALSE,FALSE
