"variant","af","filter.pvalue","lrt.pvalue","beta","beta.std.err","variant_h2","notes","cluster_variants","p_adj_BH","p_adj_bonferroni","rejected_BH_005","rejected_bonferroni_005","rejected_BH_010","rejected_bonferroni_010"
"K08310",0.299,0,0.791,11,41.3,0.0188,NA,"K08310",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K03651",0.796,0,0.346,35.8,37.8,0.0668,NA,"K03651",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01273",0.692,0,0.638,18.4,38.9,0.0334,NA,"K01273",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K05952",0.269,0,0.317,64.8,64.7,0.0709,NA,"K05952",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K06933",0.0448,0,0.399,64,75.8,0.0598,NA,"K06933",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K02030",0.896,0,0.00123,-244,74.5,0.226,NA,"K02030",0.3075,1,FALSE,FALSE,FALSE,FALSE
"K03811",0.562,0,0.121,54.3,34.9,0.11,NA,"K03811",0.855345911949686,1,FALSE,FALSE,FALSE,FALSE
"K09824",0.294,0,0.3,-45.8,44.1,0.0734,NA,"K09824",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K09964",0.493,0,0.161,-47,33.4,0.0992,NA,"K09964",0.88235294117647,1,FALSE,FALSE,FALSE,FALSE
"K10916",0.0597,0,0.83,-23,107,0.0153,NA,"K10916",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K15268",0.463,0,0.348,-30.4,32.3,0.0666,NA,"K15268",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K09823",0.642,0,0.167,112,80.5,0.0979,NA,"K09823",0.8870116156283,1,FALSE,FALSE,FALSE,FALSE
"K04764",0.687,0,0.714,42.8,117,0.026,NA,"K02427,K03071,K03089,K03562,K03643,K03694,K04764,K05527,K06179,K06916,K07390,K07657,K07708,K08305,K08311",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K00569",0.318,0,0.00847,145,54.4,0.185,NA,"K00569",0.497674418604651,1,FALSE,FALSE,FALSE,FALSE
"K08289",0.522,0,0.758,19,61.4,0.0219,NA,"K08289",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K01489",0.726,0,0.641,-30,64.2,0.0331,NA,"K01489",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K06518",0.617,0,0.958,-2.41,45.5,0.00375,NA,"K06518",0.997296173044925,1,FALSE,FALSE,FALSE,FALSE
"K01141",0.512,0,0.516,55.8,85.7,0.0461,NA,"K01141",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K15537",0.408,0,0.0723,61.4,34,0.127,NA,"K15537",0.760869565217391,1,FALSE,FALSE,FALSE,FALSE
"K09912",0.428,0,0.624,-35.4,72.1,0.0348,NA,"K09912",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K06956",0.572,0,0.465,35,47.7,0.0518,NA,"K06956",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K17290",0.642,0,0.602,-19.2,36.8,0.037,NA,"K17290",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K00768",0.567,0,0.995,-0.305,46.5,0.000465,NA,"K00768",0.999799839871897,1,FALSE,FALSE,FALSE,FALSE
"K02233",0.572,0,0.804,11.5,46.1,0.0176,NA,"K02233",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K02231",0.562,0,0.878,7.85,51.2,0.0109,NA,"K02231",0.990747009704356,1,FALSE,FALSE,FALSE,FALSE
"K08602",0.318,0,0.96,-3.43,68.6,0.00354,NA,"K08602",0.997713573061734,1,FALSE,FALSE,FALSE,FALSE
"K05526",0.443,0,0.92,8.13,80.6,0.00715,NA,"K05526",0.992884864165589,1,FALSE,FALSE,FALSE,FALSE
"K06073",0.144,0,0.0912,208,123,0.119,NA,"K03632,K03633,K03804,K06073,K06074,K08154,K08722,K09907",0.808130081300813,1,FALSE,FALSE,FALSE,FALSE
"K00344",0.91,0,0.467,-36.7,50.3,0.0516,NA,"K00344",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K21712",0.144,0,0.787,-14,51.6,0.0192,NA,"K21712",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K00425",0.975,0,0.135,-104,69.4,0.106,NA,"K00425",0.855345911949686,1,FALSE,FALSE,FALSE,FALSE
"K00426",0.98,0,0.458,-60.5,81.3,0.0526,NA,"K00426",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K00424",0.363,0,0.842,11.5,57.4,0.0142,NA,"K00424",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K03825",0.458,0,0.767,-9.66,32.6,0.021,NA,"K03825",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K09941",0.269,0,0.692,28.9,72.9,0.0281,NA,"K09941",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K08224",0.821,0,0.548,-18.1,30.1,0.0426,NA,"K08224",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K07043",0.527,0,0.295,-67.7,64.5,0.0742,NA,"K07043",0.952380952380952,1,FALSE,FALSE,FALSE,FALSE
"K06970",0.502,0,0.918,-6.27,60.9,0.00731,NA,"K06970",0.992884864165589,1,FALSE,FALSE,FALSE,FALSE
"K02656",0.458,0,0.0274,155,69.8,0.156,NA,"K02656",0.650684931506849,1,FALSE,FALSE,FALSE,FALSE
"K00651",0.483,0,0.36,62.9,68.5,0.065,NA,"K00651",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01258",0.433,0,0.00243,183,59.7,0.213,NA,"K01258",0.383783783783784,1,FALSE,FALSE,FALSE,FALSE
"K07733",0.428,0,0.0609,39.1,20.7,0.132,NA,"K07733",0.746428571428572,1,FALSE,FALSE,FALSE,FALSE
"K03630",0.871,0,0.832,-22.1,104,0.015,NA,"K03630",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07451",0.358,0,0.111,32.6,20.3,0.113,NA,"K07451",0.83710407239819,1,FALSE,FALSE,FALSE,FALSE
"K07448",0.353,0,0.318,18.9,18.9,0.0708,NA,"K07448",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01153",0.498,0,0.158,26.1,18.4,0.0999,NA,"K01153",0.878754171301446,1,FALSE,FALSE,FALSE,FALSE
"K01154",0.527,0,0.24,22.4,19,0.0833,NA,"K01154",0.946765498652291,1,FALSE,FALSE,FALSE,FALSE
"K03427",0.542,0,0.398,15.9,18.8,0.0599,NA,"K03427",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K02651",0.542,0,0.261,-38.3,34,0.0797,NA,"K02651",0.946765498652291,1,FALSE,FALSE,FALSE,FALSE
"K02278",0.323,0,0.164,-60.1,43.1,0.0985,NA,"K02278",0.886143931256713,1,FALSE,FALSE,FALSE,FALSE
"K02279",0.527,0,0.599,-18.2,34.5,0.0373,NA,"K02279",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K02280",0.458,0,0.0405,-79.4,38.5,0.145,NA,"K02280",0.710069444444444,1,FALSE,FALSE,FALSE,FALSE
"K02283",0.622,0,0.0316,-80.5,37.2,0.152,NA,"K02283",0.666666666666667,1,FALSE,FALSE,FALSE,FALSE
"K12510",0.582,0,0.152,-49.1,34.1,0.102,NA,"K12510",0.874717832957111,1,FALSE,FALSE,FALSE,FALSE
"K12511",0.502,0,0.251,-36.1,31.4,0.0813,NA,"K12511",0.946765498652291,1,FALSE,FALSE,FALSE,FALSE
"K12513",0.493,0,0.121,-67.3,43.2,0.11,NA,"K12513",0.855345911949686,1,FALSE,FALSE,FALSE,FALSE
"K03442",0.542,0,0.554,30.1,50.8,0.042,NA,"K03442",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K20534",0.542,0,0.677,-13.2,31.7,0.0296,NA,"K20534",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K16089",0.308,0,0.0146,72.1,29.3,0.172,NA,"K16089",0.575187969924812,1,FALSE,FALSE,FALSE,FALSE
"K02014",0.741,0,0.395,107,126,0.0603,NA,"K02014,K02523,K03474,K03559,K03561,K03634,K04744,K05807,K06215,K06346,K06960,K06994,K07177,K07277,K08681,K09762,K09772",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K21088",0.129,0,0.822,9.95,44.2,0.0159,NA,"K21088",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K03829",0.547,0,0.171,-49.7,36.1,0.097,NA,"K03829",0.893970893970894,1,FALSE,FALSE,FALSE,FALSE
"K13274",0.164,0,0.4,65,77.2,0.0596,NA,"K13274",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K06895",0.786,0,0.799,-10,39.3,0.0181,NA,"K06895",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K00799",0.692,0,0.977,-3.13,109,0.00204,NA,"K00799,K11209",0.999594073472701,1,FALSE,FALSE,FALSE,FALSE
"K03547",0.806,0,0.547,-26.2,43.5,0.0427,NA,"K03547",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K03546",0.677,0,0.689,-19.8,49.6,0.0284,NA,"K03546",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07178",0.507,0,0.613,24.8,48.9,0.0359,NA,"K07178",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K06876",0.308,0,0.94,-2.17,28.9,0.00531,NA,"K06876",0.993874102239121,1,FALSE,FALSE,FALSE,FALSE
"K25656",0.214,0,0.979,1.34,50.8,0.00187,NA,"K25656",0.999594073472701,1,FALSE,FALSE,FALSE,FALSE
"K02362",0.353,0,0.645,-18.9,41,0.0327,NA,"K02362",0.981735159817352,1,FALSE,FALSE,FALSE,FALSE
"K10829",0.294,0,0.843,8.61,43.5,0.014,NA,"K10829",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K23227",0.353,0,0.681,-16.1,39.1,0.0292,NA,"K23227",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K23228",0.348,0,0.633,-18.3,38.3,0.0339,NA,"K23228",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K06159",0.169,0,0.427,36.3,45.6,0.0563,NA,"K06159",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K05375",0.373,0,0.522,-22.7,35.4,0.0454,NA,"K05375",0.975791433891993,1,FALSE,FALSE,FALSE,FALSE
"K03896",0.209,0,0.834,9.4,44.7,0.0149,NA,"K03896",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K10531",0.189,0,0.377,-36.4,41,0.0627,NA,"K10531",0.960264900662252,1,FALSE,FALSE,FALSE,FALSE
"K02445",0.299,0,0.552,-26.7,44.8,0.0422,NA,"K02445",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K01126",0.851,0,0.855,-8.22,44.8,0.013,NA,"K01126",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K06940",0.642,0,0.352,-46.2,49.5,0.0659,NA,"K06940",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K00633",0.0597,0,0.962,2.39,49.6,0.00342,NA,"K00633",0.99875415282392,1,FALSE,FALSE,FALSE,FALSE
"K00661",0.592,0,0.395,-23.5,27.5,0.0603,NA,"K00661",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K16317",0.0249,0,0.546,86.4,143,0.0429,NA,"K00702,K07457,K13062,K15850,K16317,K17108,K20956",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K07089",0.373,0,0.192,40.9,31.3,0.0924,NA,"K07089",0.930568948891032,1,FALSE,FALSE,FALSE,FALSE
"K01096",0.139,0,0.0511,226,115,0.138,NA,"K01096,K05775,K09998,K09999,K10000",0.738439306358382,1,FALSE,FALSE,FALSE,FALSE
"K07118",0.627,0,0.0625,49.6,26.5,0.132,NA,"K07118",0.746428571428572,1,FALSE,FALSE,FALSE,FALSE
"K07275",0.652,0,0.133,82.7,54.9,0.106,NA,"K07275",0.855345911949686,1,FALSE,FALSE,FALSE,FALSE
"K00975",0.672,0,0.901,-5.38,43.1,0.00885,NA,"K00975",0.992884864165589,1,FALSE,FALSE,FALSE,FALSE
"K02042",0.532,0,0.97,1.28,33.6,0.00269,NA,"K02042",0.99938182567484,1,FALSE,FALSE,FALSE,FALSE
"K02041",0.517,0,0.835,6.87,33,0.0148,NA,"K02041",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K02044",0.567,0,0.512,-20.2,30.7,0.0465,NA,"K02044",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K10126",0.443,0,0.011,-130,50.6,0.179,NA,"K10126",0.534188034188034,1,FALSE,FALSE,FALSE,FALSE
"K19802",0.418,0,0.0639,67.1,36,0.131,NA,"K19802",0.74835886214442,1,FALSE,FALSE,FALSE,FALSE
"K26272",0.134,0,0.0936,64.2,38.1,0.119,NA,"K26272",0.808130081300813,1,FALSE,FALSE,FALSE,FALSE
"K03315",0.323,0,0.111,80.3,50.2,0.113,NA,"K03315",0.83710407239819,1,FALSE,FALSE,FALSE,FALSE
"K14155",0.502,0,0.632,21.9,45.6,0.0339,NA,"K14155",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K16924",0.0697,0,0.0654,-145,78.3,0.13,NA,"K16924",0.74835886214442,1,FALSE,FALSE,FALSE,FALSE
"K01552",0.264,0,0.05,-111,56.3,0.138,NA,"K01552",0.736151603498542,1,FALSE,FALSE,FALSE,FALSE
"K16785",0.274,0,0.453,-51.6,68.6,0.0533,NA,"K16785",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K00700",0.861,0,0.38,-33.9,38.5,0.0623,NA,"K00700",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K00705",0.577,0,0.743,-13.5,41.3,0.0233,NA,"K00705",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K00688",0.786,0,0.756,-13.4,43.2,0.022,NA,"K00688",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K03556",0.373,0,0.363,-32.1,35.2,0.0646,NA,"K03556",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K08974",0.154,0,0.294,55.9,53.1,0.0744,NA,"K08974",0.952380952380952,1,FALSE,FALSE,FALSE,FALSE
"K07152",0.771,0,0.389,70.3,81.4,0.0611,NA,"K07152",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K09796",0.617,0,0.453,49.6,65.9,0.0533,NA,"K09796",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K06949",0.915,0,0.743,-19.9,60.7,0.0233,NA,"K06949",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07862",0.393,0,0.761,-17.7,58,0.0216,NA,"K07862",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07126",0.637,0,0.738,-13.6,40.5,0.0238,NA,"K07126",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K13041",0.0498,0,0.296,97.1,92.7,0.074,NA,"K08357,K08358,K08359,K13040,K13041",0.952380952380952,1,FALSE,FALSE,FALSE,FALSE
"K19713",0.0647,0,0.475,-37.2,52,0.0507,NA,"K19713",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K11249",0.537,0,0.00141,-139,43,0.224,NA,"K11249",0.320454545454545,1,FALSE,FALSE,FALSE,FALSE
"K01200",0.219,0,0.00446,130,45.1,0.2,NA,"K01200",0.41171875,1,FALSE,FALSE,FALSE,FALSE
"K02024",0.254,0,0.0958,78.8,47.1,0.118,NA,"K02024",0.808130081300813,1,FALSE,FALSE,FALSE,FALSE
"K06967",0.353,0,0.779,-17.7,63.2,0.0199,NA,"K06967",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K03778",0.498,0,0.244,-56.9,48.7,0.0825,NA,"K03778",0.946765498652291,1,FALSE,FALSE,FALSE,FALSE
"K03781",0.95,0,0.127,81.3,53,0.108,NA,"K03781",0.855345911949686,1,FALSE,FALSE,FALSE,FALSE
"K00865",0.726,0,0.354,-44.3,47.7,0.0658,NA,"K00865",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K03299",0.761,0,0.617,15.2,30.4,0.0355,NA,"K03299",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K22131",0.204,0,0.683,-14.9,36.5,0.029,NA,"K22131",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K01816",0.607,0,0.797,-10.1,39.3,0.0182,NA,"K01816",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K22130",0.254,0,0.391,23.5,27.3,0.0609,NA,"K21948,K22130",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K08319",0.199,0,0.554,-20.4,34.5,0.042,NA,"K08319",0.980565371024735,1,FALSE,FALSE,FALSE,FALSE
"K13652",0.294,0,0.867,5.79,34.5,0.0119,NA,"K13652",0.987021857923497,1,FALSE,FALSE,FALSE,FALSE
"K09927",0.687,0,0.52,-25.8,40,0.0456,NA,"K09927",0.975791433891993,1,FALSE,FALSE,FALSE,FALSE
"K07168",0.642,0,0.878,-5.08,33,0.0109,NA,"K07168",0.990747009704356,1,FALSE,FALSE,FALSE,FALSE
"K03325",0.512,0,0.566,16,27.9,0.0407,NA,"K03325",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K07793",0.716,0,0.585,17.3,31.6,0.0388,NA,"K07793",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K07795",0.766,0,0.566,18.4,32.1,0.0407,NA,"K07795",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K16514",0.323,0,0.407,20.2,24.3,0.0588,NA,"K16514",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K07774",0.453,0,0.426,-26.8,33.6,0.0564,NA,"K07774",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K02440",0.547,0,0.763,-12.5,41.5,0.0214,NA,"K02440",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K00864",0.935,0,0.0313,-110,50.8,0.152,NA,"K00864",0.663135593220339,1,FALSE,FALSE,FALSE,FALSE
"K02444",0.532,0,0.0713,-119,65.4,0.127,NA,"K02444",0.75369978858351,1,FALSE,FALSE,FALSE,FALSE
"K07485",0.184,0,0.908,-3.01,26,0.00821,NA,"K07485",0.992884864165589,1,FALSE,FALSE,FALSE,FALSE
"K00111",0.955,0,0.0218,-137,59.2,0.162,NA,"K00111",0.612359550561798,1,FALSE,FALSE,FALSE,FALSE
"K09794",0.582,0,0.0306,-119,54.5,0.153,NA,"K09794",0.65531914893617,1,FALSE,FALSE,FALSE,FALSE
"K25316",0.502,0,0.499,-25.8,38.1,0.0479,NA,"K25316",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K01779",0.716,0,0.195,33.5,25.7,0.0918,NA,"K01779",0.931232091690544,1,FALSE,FALSE,FALSE,FALSE
"K09021",0.214,0,0.576,29.2,52.2,0.0397,NA,"K09021",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K13252",0.0199,0,0.771,26.3,90.4,0.0206,NA,"K13252",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K10536",0.527,0,0.523,20.7,32.4,0.0453,NA,"K10536",0.975791433891993,1,FALSE,FALSE,FALSE,FALSE
"K20265",0.149,0,0.537,-35.1,56.7,0.0438,NA,"K20265",0.97676107480029,1,FALSE,FALSE,FALSE,FALSE
"K01130",0.388,0,0.108,43.3,26.8,0.114,NA,"K01130",0.832049306625578,1,FALSE,FALSE,FALSE,FALSE
"K24118",0.0896,0,0.73,16,46.3,0.0245,NA,"K24118",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K06076",0.662,0,0.326,81.8,83.1,0.0696,NA,"K06076",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K19285",0.239,0,0.408,-43.7,52.7,0.0587,NA,"K19285",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K06132",0.587,0,0.166,61.6,44.3,0.0981,NA,"K06132",0.8870116156283,1,FALSE,FALSE,FALSE,FALSE
"K19577",0.881,0,0.03,-69.7,31.9,0.153,NA,"K19577",0.653679653679654,1,FALSE,FALSE,FALSE,FALSE
"K03487",0.114,0,0.349,73.7,78.5,0.0664,NA,"K03487",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01223",0.264,0,0.494,-40,58.4,0.0485,NA,"K01223",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K28433",0.269,0,0.595,-27.4,51.4,0.0378,NA,"K28433",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K25227",0.368,0,0.656,12.4,27.7,0.0316,NA,"K25227",0.982918789331735,1,FALSE,FALSE,FALSE,FALSE
"K16869",0.433,0,0.746,16.9,52.1,0.023,NA,"K16869",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07261",0.269,0,0.415,46.9,57.5,0.0578,NA,"K07261",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K08303",0.562,0,0.591,-31.6,58.7,0.0382,NA,"K08303",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K03554",0.532,0,0.791,-24.7,93.1,0.0188,NA,"K03554",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K07636",0.801,0,0.848,9.82,51.2,0.0136,NA,"K07636",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K02040",0.975,0,0.333,-124,127,0.0687,NA,"K02040,K19714,K19715",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K01524",0.905,0,0.531,57.9,92.2,0.0445,NA,"K01524",0.97676107480029,1,FALSE,FALSE,FALSE,FALSE
"K00937",0.861,0,0.0964,-82.1,49.1,0.118,NA,"K00937",0.808130081300813,1,FALSE,FALSE,FALSE,FALSE
"K02037",0.945,0,0.628,-65.6,135,0.0344,NA,"K00943,K00995,K02036,K02037,K02038,K03086,K03431,K03789,K04042,K04516,K07738,K13043,K15862,K16363",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K02039",0.92,0,0.696,42.9,110,0.0277,NA,"K02039",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K06201",0.522,0,0.647,16.1,35.1,0.0325,NA,"K06201",0.982685297691373,1,FALSE,FALSE,FALSE,FALSE
"K03386",0.463,0,0.298,45.6,43.7,0.0738,NA,"K03386",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K04767",0.184,0,0.455,61.9,82.7,0.053,NA,"K04767",0.972832600878945,1,FALSE,FALSE,FALSE,FALSE
"K07568",0.871,0,0.334,119,123,0.0685,NA,"K07568",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K00773",0.95,0,0.161,147,105,0.0993,NA,"K00773",0.88235294117647,1,FALSE,FALSE,FALSE,FALSE
"K03072",0.786,0,0.323,-96.3,97.3,0.07,NA,"K03072",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K03074",0.761,0,0.959,2.61,50.9,0.00364,NA,"K03074",0.997296173044925,1,FALSE,FALSE,FALSE,FALSE
"K01092",0.955,0,0.587,-61.7,113,0.0385,NA,"K00099,K00147,K00919,K00931,K01092,K03526,K03527",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K15396",0.453,0,0.51,-52.3,79.2,0.0468,NA,"K15396",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
"K13643",0.542,0,0.843,-18,90.9,0.014,NA,"K13643",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K04487",0.965,0,0.779,-39.7,141,0.02,NA,"K04487",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K04488",0.711,0,0.876,8.38,53.7,0.0111,NA,"K04488",0.99005424954792,1,FALSE,FALSE,FALSE,FALSE
"K13628",0.582,0,0.733,19.4,56.9,0.0242,NA,"K13628",0.986782133090246,1,FALSE,FALSE,FALSE,FALSE
"K04082",0.468,0,0.619,29.1,58.5,0.0353,NA,"K04044,K04082",0.981408107284365,1,FALSE,FALSE,FALSE,FALSE
"K04755",0.607,0,0.98,1.11,44.1,0.00179,NA,"K04755",0.999594073472701,1,FALSE,FALSE,FALSE,FALSE
"K07751",0.234,0,0.157,146,103,0.1,NA,"K03645,K03840,K05368,K05803,K07479,K07648,K07751,K07773,K09894,K09899,K13498,K14187,K15723,K18657,K19229,K19230",0.878754171301446,1,FALSE,FALSE,FALSE,FALSE
"K06941",0.925,0,0.926,5.21,56.2,0.00658,NA,"K06941",0.993562231759657,1,FALSE,FALSE,FALSE,FALSE
"K15539",0.711,0,0.392,71.8,83.8,0.0607,NA,"K15539",0.962578899909829,1,FALSE,FALSE,FALSE,FALSE
"K17713",0.602,0,0.3,100,96.5,0.0734,NA,"K17713",0.954968944099379,1,FALSE,FALSE,FALSE,FALSE
"K11959",0.557,0,0.0407,-94.9,46,0.145,NA,"K11959,K11960,K11961,K11962",0.710069444444444,1,FALSE,FALSE,FALSE,FALSE
"K01997",0.776,0,0.0104,-160,62.1,0.18,NA,"K01997",0.534188034188034,1,FALSE,FALSE,FALSE,FALSE
"K11963",0.542,0,0.0461,-94.5,47.1,0.141,NA,"K11963",0.736151603498542,1,FALSE,FALSE,FALSE,FALSE
"K03190",0.617,0,0.187,-48.6,36.6,0.0935,NA,"K01428,K03188,K03189,K03190",0.922473012757606,1,FALSE,FALSE,FALSE,FALSE
"K01430",0.602,0,0.209,-46.6,37,0.089,NA,"K01430",0.936379928315412,1,FALSE,FALSE,FALSE,FALSE
"K01429",0.592,0,0.499,-25.1,37,0.048,NA,"K01429",0.975103734439834,1,FALSE,FALSE,FALSE,FALSE
